Abbrieviation,Observation Network,Link
AND,HJ Andrews Experimental Forest,https://andrewsforest.oregonstate.edu/
ARC,Arctic LTER,https://lternet.edu/site/arctic-lter/
Catalina Jemez,Catalina Jemez CZO,https://czo-archive.criticalzone.org/catalina-jemez/
Finnish Environmental Institute,Finnish Environmental Institute,https://www.syke.fi/en
GRO,Arctic Great Rivers Observatory,https://arcticgreatrivers.org/
HBR,Hubbard Brook LTER,https://hubbardbrook.org/hubbard-brook-lter/
KRR,Kissimmee River Restoration Project,https://www.sfwmd.gov/our-work/kissimmee-river
Krycklan,Krycklan Catchment Study,https://www.slu.se/en/departments/forest-ecology-management/environment/krycklan/
LMP,Lamprey River,https://wrrc.unh.edu/lamprey-river-hydrologic-observatory
LUQ,Luquillo LTER,https://luquillo.lter.network/
MCM,McMurdo Dry Valleys LTER,https://mcm.lternet.edu/
NIVA,Norweigan Institute for Water Research,https://www.niva.no/en
NWT,Niwot Ridge LTER,https://nwt.lternet.edu/
Sagehen,Sagehen Creek Field Station,https://sagehen.ucnrs.org/
UMR,Upper Mississippi River Restoration Program,https://www.mvr.usace.army.mil/Missions/Environmental-Stewardship/Upper-Mississippi-River-Restoration/
USGS,United States Geological Survey,https://waterdata.usgs.gov/nwis/rt
Walker Branch,Walker Branch Watershed,https://walkerbranch.ornl.gov/